store_id,sku_id,category,subcategory,brand,stock_on_hand,reorder_point,safety_stock,forecast_8_week_demand,stock_coverage_ratio,forecast_stockout_risk,forecast_overstock_risk,recommended_action,cost_price,stockout_units_at_risk,overstock_units_at_risk,stockout_value_at_risk,overstock_value_at_risk,total_value_at_stake
ST05,SKU03493,Stationery & Office,Office Supplies,CityFresh,319,68,27,60.194473228582794,5.299489851645147,LOW,HIGH,Clear / Markdown,120.23,0.0,258.8055267714172,0.0,31116.18848372749,31116.18848372749
ST22,SKU04894,Frozen Foods,Ready Meals,CleanWave,113,33,13,66.29155727953119,1.7045911219661596,LOW,MEDIUM,Watch / Reduce Orders,199.49,0.0,46.70844272046881,0.0,9317.867238306324,9317.867238306324
ST13,SKU03088,Stationery & Office,Notebooks,GoldenHarvest,0,97,40,1672.2716070512047,0.0,HIGH,LOW,Reorder Now,153.21,1672.2716070512047,0.0,256208.7329163151,0.0,256208.7329163151
ST30,SKU02503,Stationery & Office,Notebooks,PremiumSelect,0,21,6,310.27985663143954,0.0,HIGH,LOW,Reorder Now,220.49,310.27985663143954,0.0,68413.6055886661,0.0,68413.6055886661
ST30,SKU04489,Health & Wellness,OTC Medicine,PureLife,0,74,37,405.38080413847445,0.0,HIGH,LOW,Reorder Now,200.07,405.38080413847445,0.0,81104.53748398458,0.0,81104.53748398458
ST25,SKU04145,Stationery & Office,Notebooks,CleanWave,249,48,21,69.65720498415138,3.57464816534992,LOW,HIGH,Clear / Markdown,224.88,0.0,179.34279501584862,0.0,40330.60774316404,40330.60774316404
ST16,SKU04554,Home & Kitchen,Home Decor,UrbanBite,165,51,13,73.17731823572662,2.25479703244227,LOW,HIGH,Clear / Markdown,1393.38,0.0,91.82268176427338,0.0,127943.88831670326,127943.88831670326
ST06,SKU01880,Personal Care,Men's Grooming,GreenValley,95,29,10,58.86011540998291,1.6139961557718525,LOW,MEDIUM,Watch / Reduce Orders,335.86,0.0,36.13988459001709,0.0,12137.941638403141,12137.941638403141
ST06,SKU01651,Grocery,Sugar & Salt,CrispKing,103,20,4,69.24400758489989,1.4874933383038522,LOW,LOW,Healthy,76.21,0.0,33.75599241510011,0.0,0.0,0.0
ST07,SKU02519,Grocery,Pulses & Lentils,PremiumSelect,259,45,9,68.14705768434942,3.800604293140035,LOW,HIGH,Clear / Markdown,297.43,0.0,190.85294231565058,0.0,56765.390632943956,56765.390632943956
ST26,SKU01337,Beverages,Coffee,ZestyCo,98,21,8,59.41212489124552,1.6494949503891667,LOW,MEDIUM,Watch / Reduce Orders,146.63,0.0,38.58787510875448,0.0,5658.14012719667,5658.14012719667
ST07,SKU04505,Beverages,Energy Drinks,SoftTouch,128,29,9,62.55745603619299,2.0461190097938897,LOW,HIGH,Clear / Markdown,80.84,0.0,65.44254396380701,0.0,5290.375254034159,5290.375254034159
ST15,SKU04854,Electronics & Accessories,Batteries,SparkleClean,147,45,14,59.37417204058691,2.4758239980089987,LOW,HIGH,Clear / Markdown,1096.57,0.0,87.62582795941309,0.0,96087.85416545361,96087.85416545361
ST27,SKU01939,Dairy & Bakery,Milk,HealthFirst,299,55,24,58.99034644531133,5.068625936570764,LOW,HIGH,Clear / Markdown,222.4,0.0,240.00965355468867,0.0,53378.14695056276,53378.14695056276
ST20,SKU02983,Apparel & Footwear,Kids Wear,SparkleClean,0,77,25,360.16638103851255,0.0,HIGH,LOW,Reorder Now,713.11,360.16638103851255,0.0,256838.2479823737,0.0,256838.2479823737
ST18,SKU00170,Apparel & Footwear,Men's Wear,ZestyCo,178,35,14,58.3713501445453,3.0494411994791553,LOW,HIGH,Clear / Markdown,909.39,0.0,119.6286498554547,0.0,108789.09789205194,108789.09789205194
ST04,SKU02221,Grocery,Spices & Seasoning,DailyBest,279,59,25,59.32458704690323,4.702940448273443,LOW,HIGH,Clear / Markdown,87.43,0.0,219.67541295309678,0.0,19206.221354489255,19206.221354489255
ST09,SKU00350,Home Care,Laundry,BasicNeeds,261,47,19,58.94801074354349,4.427630325567637,LOW,HIGH,Clear / Markdown,368.24,0.0,202.05198925645652,0.0,74403.62452379755,74403.62452379755
ST21,SKU03622,Dairy & Bakery,Yogurt,NatureBlend,0,47,15,385.69535892304134,0.0,HIGH,LOW,Reorder Now,193.42,385.69535892304134,0.0,74601.19632289466,0.0,74601.19632289466
ST12,SKU00355,Dairy & Bakery,Bread,SoftTouch,342,87,30,60.63998787247755,5.639842816578502,LOW,HIGH,Clear / Markdown,94.23,0.0,281.36001212752245,0.0,26512.55394277644,26512.55394277644
ST03,SKU00535,Snacks & Confectionery,Chocolates,NutriPlus,112,24,8,58.95949400465345,1.8996092468358068,LOW,MEDIUM,Watch / Reduce Orders,130.34,0.0,53.04050599534655,0.0,6913.29955143347,6913.29955143347
ST15,SKU03807,Frozen Foods,Ice Cream,TrueTaste,234,41,12,70.00511092970444,3.342613087706851,LOW,HIGH,Clear / Markdown,265.41,0.0,163.99488907029556,0.0,43525.88350814715,43525.88350814715
ST13,SKU00994,Home & Kitchen,Home Decor,NovaFresh,0,73,15,2240.253815499583,0.0,HIGH,LOW,Reorder Now,395.46,2240.253815499583,0.0,885930.7738774652,0.0,885930.7738774652
ST04,SKU01174,Home & Kitchen,Home Decor,NovaFresh,288,57,13,59.46079026090846,4.843527957436868,LOW,HIGH,Clear / Markdown,1462.83,0.0,228.53920973909155,0.0,334314.01218263526,334314.01218263526
ST09,SKU03504,Frozen Foods,Frozen Vegetables,NovaFresh,382,70,15,64.28146649560158,5.9426148908120835,LOW,HIGH,Clear / Markdown,576.1,0.0,317.7185335043984,0.0,183037.64715188392,183037.64715188392
ST21,SKU00589,Electronics & Accessories,Mobile Accessories,NovaFresh,292,58,17,66.890078345093,4.3653708774796325,LOW,HIGH,Clear / Markdown,313.88,0.0,225.109921654907,0.0,70657.50220904221,70657.50220904221
ST05,SKU02567,Home Care,Air Fresheners,GreenValley,298,76,28,64.84722188590831,4.5954166012585524,LOW,HIGH,Clear / Markdown,234.63,0.0,233.1527781140917,0.0,54704.636328909335,54704.636328909335
ST24,SKU02580,Home Care,Pest Control,FamilyChoice,235,57,22,68.12903511620661,3.449336976505894,LOW,HIGH,Clear / Markdown,297.28,0.0,166.8709648837934,0.0,49607.40044065409,49607.40044065409
ST22,SKU03968,Beverages,Soft Drinks,EliteHome,196,51,14,58.31825516633348,3.3608687269702258,LOW,HIGH,Clear / Markdown,93.93,0.0,137.68174483366653,0.0,12932.446292226297,12932.446292226297
ST06,SKU00954,Beverages,Soft Drinks,PurePlus,197,43,13,59.38101372564147,3.3175587218871088,LOW,HIGH,Clear / Markdown,145.35,0.0,137.61898627435852,0.0,20002.91965497801,20002.91965497801
ST23,SKU02355,Grocery,Spices & Seasoning,EverydayPlus,0,40,19,433.4702556092061,0.0,HIGH,LOW,Reorder Now,198.69,433.4702556092061,0.0,86126.20508699316,0.0,86126.20508699316
ST26,SKU04612,Home & Kitchen,Cookware,CleanWave,396,95,32,58.97593650609134,6.714602996751041,LOW,HIGH,Clear / Markdown,532.13,0.0,337.02406349390867,0.0,179340.61490701363,179340.61490701363
ST19,SKU03633,Beverages,Soft Drinks,SunriseFoods,0,81,27,308.62967789282675,0.0,HIGH,LOW,Reorder Now,78.05,308.62967789282675,0.0,24088.54635953513,0.0,24088.54635953513
ST02,SKU03235,Apparel & Footwear,Footwear,HomeStyle,310,52,21,58.860246278387315,5.266712587878311,LOW,HIGH,Clear / Markdown,1052.65,0.0,251.1397537216127,0.0,264362.26175505563,264362.26175505563
ST24,SKU01762,Home & Kitchen,Home Decor,QuickBite,290,55,24,61.19914670039461,4.738628161266996,LOW,HIGH,Clear / Markdown,1614.7,0.0,228.8008532996054,0.0,369444.7378228728,369444.7378228728
ST22,SKU03150,Apparel & Footwear,Women's Wear,ZestyCo,191,44,13,59.510531400982295,3.2095159546306338,LOW,HIGH,Clear / Markdown,2742.62,0.0,131.4894685990177,0.0,360625.6463690379,360625.6463690379
ST22,SKU00935,Snacks & Confectionery,Namkeen,NovaFresh,344,59,19,69.11749098933757,4.977032514867579,LOW,HIGH,Clear / Markdown,77.98,0.0,274.88250901066243,0.0,21435.33805265146,21435.33805265146
ST25,SKU02401,Health & Wellness,First Aid,SoftTouch,0,21,6,457.9769749772212,0.0,HIGH,LOW,Reorder Now,385.22,457.9769749772212,0.0,176421.89030072515,0.0,176421.89030072515
ST27,SKU02999,Stationery & Office,Notebooks,CleanWave,148,34,13,71.9465027968136,2.057084003345812,LOW,HIGH,Clear / Markdown,230.02,0.0,76.0534972031864,0.0,17493.825426676936,17493.825426676936
ST20,SKU02057,Beverages,Energy Drinks,FreshFarm,421,74,36,63.8157473278422,6.597117758994287,LOW,HIGH,Clear / Markdown,117.15,0.0,357.1842526721578,0.0,41844.13520054329,41844.13520054329
ST25,SKU00186,Apparel & Footwear,Men's Wear,TrueTaste,207,39,10,64.307229283586,3.218922698211092,LOW,HIGH,Clear / Markdown,1185.19,0.0,142.692770716414,0.0,169118.04492538673,169118.04492538673
ST23,SKU03523,Health & Wellness,Vitamins & Supplements,GoldenHarvest,94,31,15,71.04436461842852,1.323116907369975,LOW,LOW,Healthy,222.52,0.0,22.955635381571483,0.0,0.0,0.0
ST14,SKU01754,Snacks & Confectionery,Chocolates,EverydayPlus,310,56,23,58.704398629282096,5.280694585726838,LOW,HIGH,Clear / Markdown,51.7,0.0,251.29560137071792,0.0,12991.982590866117,12991.982590866117
ST07,SKU04747,Home & Kitchen,Home Decor,EliteHome,311,54,26,61.51451056311424,5.055717702263309,LOW,HIGH,Clear / Markdown,803.55,0.0,249.48548943688576,0.0,200474.06503700954,200474.06503700954
ST07,SKU00546,Dairy & Bakery,Milk,TrueTaste,318,58,22,58.46964708712485,5.438719332889976,LOW,HIGH,Clear / Markdown,93.76,0.0,259.5303529128752,0.0,24333.565889111178,24333.565889111178
ST07,SKU00317,Beverages,Soft Drinks,ZestyCo,154,43,17,59.12187401600165,2.6047888799722263,LOW,HIGH,Clear / Markdown,69.99,0.0,94.87812598399836,0.0,6640.520037620045,6640.520037620045
ST29,SKU00830,Frozen Foods,Ice Cream,TrueTaste,0,21,9,322.6538811556755,0.0,HIGH,LOW,Reorder Now,208.06,322.6538811556755,0.0,67131.36651324984,0.0,67131.36651324984
ST22,SKU01874,Health & Wellness,OTC Medicine,SparkleClean,156,31,11,58.399537519243296,2.6712540308833144,LOW,HIGH,Clear / Markdown,243.42,0.0,97.6004624807567,0.0,23757.904577065794,23757.904577065794
ST01,SKU02983,Apparel & Footwear,Kids Wear,SparkleClean,0,70,31,360.16638103851255,0.0,HIGH,LOW,Reorder Now,713.11,360.16638103851255,0.0,256838.2479823737,0.0,256838.2479823737
ST06,SKU01075,Home Care,Dishwashing,HealthFirst,311,52,21,58.59611105408294,5.307519465122075,LOW,HIGH,Clear / Markdown,215.8,0.0,252.40388894591706,0.0,54468.7592345289,54468.7592345289
ST16,SKU03520,Snacks & Confectionery,Candy,PrimeCare,445,96,40,71.41889429845365,6.230844153654659,LOW,HIGH,Clear / Markdown,72.21,0.0,373.58110570154633,0.0,26976.29164270866,26976.29164270866
ST21,SKU01649,Home Care,Surface Cleaners,NatureBlend,299,79,29,67.74964254079006,4.413307418116353,LOW,HIGH,Clear / Markdown,258.86,0.0,231.25035745920994,0.0,59861.46753189109,59861.46753189109
ST26,SKU02747,Health & Wellness,OTC Medicine,NovaFresh,0,26,8,626.2797969620889,0.0,HIGH,LOW,Reorder Now,443.77,626.2797969620889,0.0,277924.1854978662,0.0,277924.1854978662
ST26,SKU00532,Beverages,Coffee,CleanWave,230,40,19,66.44583802390464,3.4614658621245007,LOW,HIGH,Clear / Markdown,61.5,0.0,163.55416197609537,0.0,10058.580961529866,10058.580961529866
ST07,SKU01485,Personal Care,Men's Grooming,PrimeCare,0,55,27,378.62727245891216,0.0,HIGH,LOW,Reorder Now,342.91,378.62727245891216,0.0,129835.07799888558,0.0,129835.07799888558
ST05,SKU03627,Frozen Foods,Ready Meals,HealthFirst,327,77,17,59.78143360199336,5.469925699290966,LOW,HIGH,Clear / Markdown,735.55,0.0,267.21856639800666,0.0,196552.61651405378,196552.61651405378
ST19,SKU01310,Frozen Foods,Frozen Meat,FreshFarm,448,77,22,71.97400692207782,6.224469348844566,LOW,HIGH,Clear / Markdown,477.85,0.0,376.0259930779222,0.0,179684.02079228513,179684.02079228513
ST02,SKU04753,Health & Wellness,Vitamins & Supplements,QuickBite,140,36,8,65.39204297273139,2.1409332639810668,LOW,HIGH,Clear / Markdown,371.28,0.0,74.60795702726861,0.0,27700.44228508429,27700.44228508429
ST19,SKU04693,Beverages,Tea,MetroBrand,290,93,25,60.316146409049765,4.807999470544569,LOW,HIGH,Clear / Markdown,130.16,0.0,229.68385359095024,0.0,29895.650383398082,29895.650383398082
ST22,SKU02224,Personal Care,Hair Care,SparkleClean,154,37,8,58.55901941199707,2.6298254572283666,LOW,HIGH,Clear / Markdown,108.81,0.0,95.44098058800293,0.0,10384.933097780598,10384.933097780598
